"",Label,X203.130173805984...820.908935546875,X344.090501591756...1063.88049316406,X136.039010425399...113.691162109375,X153.063788635274...162.899993896484,X166.049917801498...128.399993896484,X269.148033648836...154.199996948242,X269.147793493768...149.767303466797,X295.228993697699...1598.64379882812,X245.179551581852...159.300003051758,X151.061409775449...177.599990844727,X305.109811519605...542.831359863281
"1",14,1105.876681,621.7791572,1311.621088,1268.035594,1536.712943,410.3411835,394.7651815,1612.770643,483.7877353,2166.426459,2334.461433
"2",19,776.6370811,603.5308676,789.8032214,474.9967426,885.5220565,1238.240472,2019.795264,849.5951244,4311.173313,1283.611659,1735.981212
"3",16,1776.552676,508.8768245,1109.64041,1309.726903,1472.794357,807.1619992,777.5495543,846.7861033,1033.370975,635.8233426,200.4520897
"4",22,1016.378998,1004.82993,1080.319406,524.238406,638.900019,1016.29957,1485.104046,1213.296477,1507.957283,158.7299648,2018.005347
"5",5,1632.653283,685.5850301,1083.144599,934.7926141,1344.76134,494.7262778,552.1785272,2283.199115,740.5986051,1102.818839,654.3998775
"6",13,1495.489832,240.9668601,1218.297317,999.0659295,1065.389728,296.9519146,272.3434973,1353.802188,253.6020907,949.0184757,2769.478241
"7",6,1780.477371,386.3905435,1283.914169,1165.900152,1224.048823,244.2503993,292.2693973,404.809741,276.7347139,928.9670466,828.8321888
"8",15,1068.791364,619.3951169,930.1197023,923.3439529,1469.083777,788.2172392,931.7824696,2078.093822,986.9968051,987.3528288,902.9553928
"9",0,681.3533102,2935.017246,1100.794734,959.0350925,993.3863882,1508.648584,1529.308934,1121.140759,3876.269007,1899.204495,1859.728618
"10",7,626.771144,1088.032393,1199.918721,1220.19202,1051.032317,1303.986461,1263.493027,1082.868667,1406.667033,1753.269051,3576.194761
"11",21,428.4384448,1309.289665,1151.102286,854.3167465,1249.289591,2138.696711,2799.825076,458.442346,987.6018126,1192.32953,6703.736573
"12",23,158.5900182,1822.506469,1062.012376,580.0301739,478.0599517,1116.947733,1095.679663,1352.451308,912.4552959,1007.166546,923.3617618
"13",6,1564.536817,298.3654214,1256.033338,893.2333617,971.6597293,324.3357249,434.6970179,1340.72752,318.7541911,844.8031945,1746.51372
"14",16,2361.572065,216.9997955,1352.895264,1174.260068,921.1984749,602.894623,642.5209259,499.9118895,548.4438316,354.6748678,17400.41774
"15",9,1470.433359,407.0409879,1236.463746,1193.938988,870.6630981,263.893801,20.85502716,1461.176151,648.3923451,861.6819354,511.0752328
"16",26,247.5489772,189.6402155,155.5606665,245.8587715,249.9413193,325.599748,327.504701,570.7664623,497.771439,17.24894939,17652.60553
"17",15,1392.513035,344.1634222,1262.800166,1167.755449,842.5063852,193.6178733,316.195584,1158.289024,269.8773002,357.8532038,1909.324321
"18",0,689.5054753,1807.166788,787.9700786,951.4115908,1182.088258,724.3216339,774.2884439,777.711984,2203.301071,2718.649181,5795.202691
"19",19,467.5615654,852.5146881,667.0896142,464.6810688,676.4553751,999.7727919,1575.81066,448.0771728,2190.025676,420.485311,27906.45652
"20",19,891.9550429,614.9120972,774.5804768,632.6550121,887.7719885,958.2842103,1451.061843,240.9374517,2443.158601,1400.872016,25672.03659
"21",19,432.9816839,769.1684539,901.4470958,646.9871543,931.6547657,533.2779363,791.7688325,412.7359861,1508.949695,1042.370144,18341.55018
"22",14,810.3948419,376.3199211,1018.958781,977.7104669,969.1153144,415.1129477,670.6774126,627.2145556,564.6234374,1424.625759,24909.06148
"23",26,433.3138303,3366.891593,613.9417093,584.7392647,954.0505023,1958.941072,1937.297501,308.022173,1384.554802,1340.80875,37910.87077
"24",12,1389.238307,351.7024656,1301.524357,1668.103022,992.7127127,524.5318562,460.5479859,647.5048626,1143.391093,1770.806905,9705.661932
"25",1,538.4193875,1818.803239,1117.627886,991.4306879,696.8269461,1517.930954,966.8759952,1768.027648,3673.04804,1999.344649,12792.09457
"26",23,447.429716,1125.879382,529.237999,610.3000091,470.448208,1128.014797,1481.363031,1462.820904,2019.099015,1471.835472,6857.602664
"27",0,545.6261256,1043.416032,893.5668427,1122.688158,962.6409761,591.0094976,936.013,1103.565257,3014.333935,2162.619614,1844.298639
"28",16,970.9109138,243.0838089,1208.306074,1111.878378,1316.790998,395.6913832,342.952478,801.7724873,393.6566853,30.58770717,253.8876914
"29",8,1355.808018,287.475237,1361.433359,1150.919458,1187.966837,158.1022568,156.728029,987.4283606,168.9517369,529.8422741,3160.461896
"30",22,668.9599455,1738.342231,621.4716344,829.9378291,476.2438375,1692.880866,1509.872397,293.0461573,983.902194,1473.379697,469.6430262
"31",26,162.1358988,291.1642119,850.6934418,478.8577441,847.7492019,1396.405726,583.8042553,1039.436744,127.3333386,530.6681926,6716.732825
"32",1,232.0582928,1834.561738,589.5834237,277.9128491,594.3642042,1039.114219,1568.747247,1957.462025,2186.780411,5231.362412,9350.62581
"33",21,273.5815824,1398.71697,1152.228821,1258.703931,1156.038596,2531.179543,2148.578659,1061.092893,757.0180341,33.3584687,8235.26309
"34",1,273.5396542,1392.683557,672.5038989,690.0068853,568.2591781,211.9815618,281.8589111,1849.674589,461.6465477,4308.643554,5546.361697
"35",13,1498.43928,128.3816278,1192.16875,1286.215889,1185.874,380.282319,361.1010395,876.8992502,374.74052,1981.69365,716.1870352
"36",2,391.9875219,1021.855664,816.8744822,681.7655945,729.913475,644.0706959,529.4260419,4210.870981,1442.72784,1004.15258,6725.094455
"37",22,182.1782367,3701.333309,659.6964511,506.1742158,788.0814278,1517.882336,1413.423098,927.9108605,812.781866,1502.568077,12436.16667
"38",14,1385.282452,318.3944383,1055.564923,957.5732173,1061.546962,568.4092183,484.3907704,502.7480285,804.7223546,599.0398098,6534.343808
"39",12,877.2753578,282.5096073,1160.305024,1042.926948,1107.724416,370.9050089,529.2754541,1021.712079,618.6832741,1249.658865,7799.618303
"40",0,730.3733189,3155.764556,1215.461153,1076.821967,1310.674104,755.4458994,968.1067162,980.9219035,2301.39602,1068.853746,1125.062494
"41",8,1363.999358,1022.966051,1204.921959,1130.76742,1367.836915,498.2900666,455.7664939,1187.386334,544.7990463,918.2425298,1408.637682
"42",13,1487.20884,376.6201829,1499.250783,1787.023054,990.5697525,162.0453541,160.062364,801.5082699,120.1308246,887.6611602,1138.786653
"43",1,612.5922345,922.7313632,506.9050917,539.2637469,587.0106375,423.7548926,1042.775652,1631.299273,3513.721701,2083.986674,931.5729869
"44",5,1197.324028,1622.976508,1260.245232,1122.013241,1084.440385,452.072804,603.8623838,411.8538918,422.0088027,1405.746018,1208.378543
"45",8,1375.171428,402.7282306,1424.571453,1448.129386,1005.04702,331.5251796,257.222171,1248.706988,351.4670713,522.925121,1056.659124
"46",2,607.2647036,1956.222943,759.5438623,887.9744121,1172.957291,1064.450178,1220.893103,1877.353731,1804.759063,2338.854676,1310.112572
